month,meter,unit,type,cons,rate,band,actual_consumption_charge,actual_tax,actual_csrv,actual_total,expected_cc,expected_stamp,expected_csrv,expected_total,total_diff,pct_error,status
05,94246355,Offices-4-3-10,ELECTRICITY,606.68,2.74,3,1662.82,19.0,25.0,1706.816,1662.3,19.41,25,1706.71,0.11,0.01,CLOSE
05,94246347,Offices-6-3-9,ELECTRICITY,715.695,2.74,3,1962.01,22.0,25.0,2009.006,1961.0,22.9,25,2008.9,0.11,0.01,CLOSE
05,94246357,Offices-6-0-3,ELECTRICITY,169.978,2.16,1,367.69,5.0,15.0,387.691,367.15,5.44,15,387.59,0.1,0.03,CLOSE
05,94246346,Offices-6-1-13,ELECTRICITY,199.435,2.16,1,431.26,6.0,15.0,452.26,430.78,6.38,15,452.16,0.1,0.02,CLOSE
05,94246353,Offices-4-2-5,ELECTRICITY,207.316,2.16,1,448.54,6.0,15.0,469.536,447.8,6.63,15,469.43,0.11,0.02,CLOSE
05,94246547,Offices-5-3-1/2/7/8/9,ELECTRICITY,1817.674,2.79,4,5071.57,58.0,40.0,5169.575,5071.31,58.17,40,5169.48,0.1,0.0,CLOSE
05,94246721,Offices-5-3-3/4/5,ELECTRICITY,708.546,2.74,3,1942.19,22.0,25.0,1989.189,1941.42,22.67,25,1989.09,0.1,0.01,CLOSE
05,94246704,Offices-4-4-11,ELECTRICITY,411.81,2.64,2,1087.45,13.0,20.0,1120.455,1087.18,13.18,20,1120.36,0.1,0.01,CLOSE
05,94246703,Offices-2-1-9,ELECTRICITY,1162.145,2.79,4,3242.67,37.0,40.0,3319.672,3242.38,37.19,40,3319.57,0.1,0.0,CLOSE
05,94246722,Offices-2-1-8,ELECTRICITY,708.463,2.74,3,1941.96,22.0,25.0,1988.958,1941.19,22.67,25,1988.86,0.1,0.01,CLOSE
05,94246715,Offices-4-4-7,ELECTRICITY,1916.271,2.79,4,5346.82,61.0,40.0,5447.816,5346.4,61.32,40,5447.72,0.1,0.0,CLOSE
05,94246718,Offices-7-0-2,ELECTRICITY,279.947,2.64,2,740.12,8.0,20.0,768.118,739.06,8.96,20,768.02,0.1,0.01,CLOSE
05,94246549,Offices-5-2-3,ELECTRICITY,443.076,2.64,2,1170.0,14.0,20.0,1203.998,1169.72,14.18,20,1203.9,0.1,0.01,CLOSE
05,94246730,Offices-4-1-5,ELECTRICITY,164.533,2.16,1,355.76,5.0,15.0,375.756,355.39,5.27,15,375.66,0.1,0.03,CLOSE
05,94246709,Offices-6-4-1,ELECTRICITY,2330.632,2.79,4,6503.14,74.0,40.0,6617.143,6502.46,74.58,40,6617.04,0.1,0.0,CLOSE
05,94246716,Offices-4-3-1,ELECTRICITY,325.743,2.64,2,860.48,10.0,20.0,890.484,859.96,10.42,20,890.38,0.1,0.01,CLOSE
05,94246719,Offices-4-2-6,ELECTRICITY,0.266,1.62,0,9.1,0.0,0.0,9.1,0.43,0.01,5,9.1,0.0,0.0,MATCH
05,94246706,Offices-6-0-1,ELECTRICITY,1135.424,2.79,4,3168.26,36.0,40.0,3244.265,3167.83,36.33,40,3244.16,0.11,0.0,CLOSE
05,94246714,Offices-7-3-2,ELECTRICITY,204.062,2.16,1,441.4,6.0,15.0,462.402,440.77,6.53,15,462.3,0.1,0.02,CLOSE
05,94246726,Offices-4-1-6,ELECTRICITY,119.204,2.16,1,258.39,3.0,15.0,276.394,257.48,3.81,15,276.29,0.1,0.04,CLOSE
05,94246731,Offices-4-4-4/5,ELECTRICITY,473.089,2.64,2,1249.19,15.0,20.0,1284.192,1248.95,15.14,20,1284.09,0.1,0.01,CLOSE
05,94246733,Plug infinity,ELECTRICITY,3236.585,2.79,4,9011.81,0.0,0.0,9011.812,9030.07,103.57,40,9173.64,-161.83,1.76,MISMATCH
05,94246708,Offices-5-1-5,ELECTRICITY,601.668,2.74,3,1648.92,19.0,25.0,1692.923,1648.57,19.25,25,1692.82,0.1,0.01,CLOSE
05,94246710,Offices-6-1-4,ELECTRICITY,139.166,2.16,1,301.15,4.0,15.0,320.151,300.6,4.45,15,320.05,0.1,0.03,CLOSE
05,94246734,Offices-5-1-8,ELECTRICITY,21.922,1.62,0,36.31,0.0,5.0,41.314,35.51,0.7,5,41.21,0.1,0.24,CLOSE
05,94246735,Offices-5-1-9,ELECTRICITY,1200.843,2.79,4,3350.88,38.0,40.0,3428.877,3350.35,38.43,40,3428.78,0.1,0.0,CLOSE
05,94246725,Offices-7-3-3,ELECTRICITY,161.707,2.16,1,349.56,5.0,15.0,369.561,349.29,5.17,15,369.46,0.1,0.03,CLOSE
05,94246705,Offices-7-0-4,ELECTRICITY,708.596,2.74,3,1942.33,22.0,25.0,1989.328,1941.55,22.68,25,1989.23,0.1,0.01,CLOSE
05,94246713,Offices-6-3-10,ELECTRICITY,3.724,1.62,0,6.25,0.0,5.0,11.251,6.03,0.12,5,11.15,0.1,0.9,CLOSE
05,94246717,Offices-7-1-2,ELECTRICITY,357.315,2.64,2,943.85,11.0,20.0,974.845,943.31,11.43,20,974.74,0.11,0.01,CLOSE
05,94246711,Offices-4-0-9,ELECTRICITY,170.976,2.16,1,369.88,5.0,15.0,389.879,369.31,5.47,15,389.78,0.1,0.03,CLOSE
05,94246707,Offices-7-4-9,ELECTRICITY,0.046,1.62,0,9.1,0.0,0.0,9.1,0.07,0.0,5,9.1,0.0,0.0,MATCH
05,94246358,Offices-7-0-1,ELECTRICITY,744.714,2.74,3,2041.45,23.0,25.0,2089.446,2040.52,23.83,25,2089.35,0.1,0.0,CLOSE
05,94246349,Offices-5-2-8,ELECTRICITY,0.0,1.62,0,9.1,0.0,0.0,9.1,0.0,0.0,5,9.1,0.0,0.0,MATCH
05,94246350,Offices-4-4-1/2,ELECTRICITY,410.372,2.64,2,1083.61,13.0,20.0,1116.613,1083.38,13.13,20,1116.51,0.1,0.01,CLOSE
05,94246551,Offices-7-1-7,ELECTRICITY,642.932,2.74,3,1762.31,20.0,25.0,1807.306,1761.63,20.57,25,1807.2,0.11,0.01,CLOSE
05,94246548,Offices-7-1-8,ELECTRICITY,193.625,2.16,1,418.53,6.0,15.0,439.526,418.23,6.2,15,439.43,0.1,0.02,CLOSE
05,94246352,Offices-6-1-9,ELECTRICITY,1011.597,2.79,4,2822.83,32.0,40.0,2894.826,2822.36,32.37,40,2894.73,0.1,0.0,CLOSE
05,94246351,Offices-6-1-8,ELECTRICITY,741.481,2.74,3,2032.48,23.0,25.0,2080.484,2031.66,23.73,25,2080.39,0.09,0.0,CLOSE
05,94246795,Offices-6-1-7,ELECTRICITY,592.869,2.64,2,1566.24,18.0,20.0,1604.245,1565.17,18.97,20,1604.14,0.1,0.01,CLOSE
05,94246784,Offices-6-2-7,ELECTRICITY,879.975,2.74,3,2411.39,28.0,25.0,2464.39,2411.13,28.16,25,2464.29,0.1,0.0,CLOSE
05,94246356,Offices-5-4-4,ELECTRICITY,101.502,2.16,1,219.59,3.0,15.0,237.592,219.24,3.25,15,237.49,0.1,0.04,CLOSE
05,94246552,Offices-2-3-5,ELECTRICITY,116.821,2.16,1,253.17,3.0,15.0,271.171,252.33,3.74,15,271.07,0.1,0.04,CLOSE
05,94246797,Offices-2-1-7,ELECTRICITY,564.117,2.64,2,1489.42,18.0,20.0,1527.419,1489.27,18.05,20,1527.32,0.1,0.01,CLOSE
05,94246767,Offices-7-3-8,ELECTRICITY,303.364,2.64,2,801.69,9.0,20.0,830.687,800.88,9.71,20,830.59,0.1,0.01,CLOSE
05,94246779,Offices-7-3-9,ELECTRICITY,2281.103,2.79,4,6365.37,72.0,40.0,6477.372,6364.28,73.0,40,6477.28,0.09,0.0,CLOSE
05,94246796,Offices-6-2-3,ELECTRICITY,231.001,2.16,1,499.45,7.0,15.0,521.454,498.96,7.39,15,521.35,0.1,0.02,CLOSE
05,94246788,Offices-4-3-4,ELECTRICITY,2036.525,2.79,4,5682.17,65.0,40.0,5787.172,5681.9,65.17,40,5787.07,0.1,0.0,CLOSE
05,94246765,Offices-6-3-1/12/13,ELECTRICITY,1605.289,2.79,4,4479.23,51.0,40.0,4570.225,4478.76,51.37,40,4570.13,0.1,0.0,CLOSE
05,94246774,Offices-4-1-1,ELECTRICITY,-40.755,2.79,4,9.1,0.0,0.0,9.1,-113.71,-1.3,40,9.1,0.0,0.0,MATCH
05,94246766,Offices-2-3-3,ELECTRICITY,632.871,2.74,3,1734.42,20.0,25.0,1779.417,1734.07,20.25,25,1779.32,0.1,0.01,CLOSE
05,94246798,Offices-6-4-12,ELECTRICITY,3.87,1.62,0,6.49,0.0,5.0,11.492,6.27,0.12,5,11.39,0.1,0.88,CLOSE
05,94246789,Offices-6-4-11,ELECTRICITY,2.617,1.62,0,4.42,0.0,5.0,9.422,4.24,0.08,5,9.32,0.1,1.07,CLOSE
